key,press_time,release_time,hold_time,flight_time
Key.caps_lock,1739744528.9292135,1739744529.0753975,0.14618396759033203,0.0
t,1739744529.6092992,1739744529.713532,0.1042327880859375,0.6800856590270996
Key.caps_lock,1739744529.8456361,1739744529.977273,0.1316368579864502,0.23633694648742676
h,1739744530.123399,1739744530.2144632,0.0910642147064209,0.27776288986206055
e,1739744530.237132,1739744530.3413768,0.10424470901489258,0.11373305320739746
Key.space,1739744530.4055603,1739744530.5018177,0.09625744819641113,0.1684281826019287
q,1739744530.5873978,1739744530.7009804,0.11358261108398438,0.1818375587463379
u,1739744530.665835,1739744530.7560732,0.09023833274841309,0.07843708992004395
i,1739744530.8425097,1739744530.9382455,0.09573578834533691,0.17667484283447266
c,1739744530.9788265,1739744531.0795639,0.10073733329772949,0.13631677627563477
k,1739744531.0830405,1739744531.1798143,0.09677386283874512,0.10421395301818848
Key.space,1739744531.270488,1739744531.3575704,0.0870823860168457,0.18744754791259766
b,1739744532.249159,1739744532.3356051,0.08644604682922363,0.9786710739135742
r,1739744532.3858814,1739744532.481663,0.09578156471252441,0.13672232627868652
o,1739744532.508186,1739744532.599655,0.09146881103515625,0.12230467796325684
w,1739744532.6365137,1739744532.7320154,0.09550166130065918,0.1283276081085205
n,1739744532.7599301,1739744532.855873,0.09594297409057617,0.12341642379760742
Key.space,1739744532.9415202,1739744533.0233161,0.08179593086242676,0.18159008026123047
f,1739744533.0872107,1739744533.1787763,0.09156560897827148,0.1456904411315918
o,1739744533.2106063,1739744533.3011007,0.09049439430236816,0.12339568138122559
x,1739744533.365266,1739744533.4655194,0.10025334358215332,0.15465974807739258
Key.space,1739744533.5196183,1739744533.6064074,0.08678913116455078,0.15435218811035156
j,1739744534.6085255,1739744534.6856456,0.07712006568908691,1.088907241821289
u,1739744534.776992,1739744534.859965,0.08297300338745117,0.16846656799316406
m,1739744534.9454906,1739744535.027376,0.08188533782958984,0.16849851608276367
p,1739744535.1331456,1739744535.231952,0.09880638122558594,0.18765497207641602
s,1739744535.2506337,1739744535.3466642,0.09603047370910645,0.11748814582824707
Key.space,1739744535.3466642,1739744535.4372177,0.09055352210998535,0.09603047370910645
o,1739744535.533761,1739744535.6426072,0.10884618759155273,0.18709683418273926
v,1739744535.801311,1739744535.8886538,0.08734273910522461,0.267549991607666
e,1739744535.911462,1739744536.0063884,0.09492635726928711,0.11015105247497559
r,1739744536.0889635,1739744536.1844077,0.0954442024230957,0.17750144004821777
Key.space,1739744536.170924,1739744536.2616982,0.0907742977142334,0.08196043968200684
t,1739744536.3343513,1739744536.4214785,0.0871272087097168,0.16342735290527344
h,1739744536.530692,1739744536.6443958,0.11370372772216797,0.19634079933166504
4,1739744536.653445,1739744536.7269273,0.07348227500915527,0.12275290489196777
Key.space,1739744536.7490158,1739744536.8315294,0.08251357078552246,0.09557080268859863
l,1739744537.1955788,1739744537.2970357,0.10145688056945801,0.4465630054473877
a,1739744537.3420053,1739744537.452187,0.11018180847167969,0.14642643928527832
z,1739744537.6338212,1739744537.7702332,0.1364119052886963,0.29181599617004395
y,1739744537.7702332,1739744537.8708951,0.1006619930267334,0.1364119052886963
Key.space,1739744537.947725,1739744538.034738,0.08701300621032715,0.1774919033050537
d,1739744538.412683,1739744538.5083501,0.09566712379455566,0.46495795249938965
o,1739744538.5486884,1739744538.644578,0.09588956832885742,0.13600540161132812
g,1739744538.941106,1739744539.0367627,0.0956566333770752,0.39241766929626465
.,1739744540.0165064,1739744540.117123,0.100616455078125,1.0754003524780273
Key.space,1739744540.2082458,1739744540.2892156,0.08096981048583984,0.19173932075500488
Key.caps_lock,1739744540.4167948,1739744540.571593,0.15479826927185059,0.20854902267456055
c,1739744540.7911339,1739744540.9000285,0.10889458656311035,0.37433910369873047
Key.caps_lock,1739744541.0453696,1739744541.1780427,0.13267302513122559,0.25423574447631836
y,1739744541.2654057,1739744541.329119,0.06371331214904785,0.22003602981567383
b,1739744541.4516187,1739744541.537627,0.08600831031799316,0.18621301651000977
e,1739744541.528716,1739744541.6376677,0.10895156860351562,0.07709741592407227
r,1739744541.72891,1739744541.8200912,0.09118127822875977,0.2001938819885254
s,1739744541.9751754,1739744542.079708,0.10453271865844727,0.24626541137695312
e,1739744542.8264992,1739744542.9038556,0.07735633850097656,0.8513238430023193
c,1739744543.0543177,1739744543.1359487,0.08163094520568848,0.22781848907470703
u,1739744543.1855972,1739744543.277163,0.09156584739685059,0.13127946853637695
i,1739744543.3677778,1739744543.4728675,0.10508966445922852,0.18218064308166504
r,1739744543.4868746,1739744543.5959916,0.10911703109741211,0.11909675598144531
t,1739744543.6686656,1739744543.7506926,0.08202695846557617,0.18179106712341309
y,1739744543.832754,1739744543.9386456,0.10589170455932617,0.16408824920654297
Key.space,1739744544.0325055,1739744544.1288698,0.09636425971984863,0.199751615524292
o,1739744544.3341537,1739744544.4058864,0.07173275947570801,0.3016481399536133
i,1739744544.323712,1739744544.4159427,0.09223055839538574,-0.01044154167175293
s,1739744545.4359212,1739744545.5359132,0.09999203681945801,1.1122090816497803
Key.space,1739744545.600104,1739744545.6855981,0.0854940414428711,0.1641829013824463
e,1739744546.0598826,1739744546.1545591,0.09467649459838867,0.4597785472869873
s,1739744546.2786565,1739744546.3426754,0.06401896476745605,0.21877384185791016
s,1739744546.4243147,1739744546.5199375,0.09562277793884277,0.14565825462341309
e,1739744546.6202502,1739744546.7069068,0.08665657043457031,0.19593548774719238
n,1739744546.7112925,1739744546.7986882,0.08739566802978516,0.09104228019714355
t,1739744546.9163008,1739744546.9844377,0.06813693046569824,0.20500826835632324
i,1739744547.1029515,1739744547.203706,0.1007544994354248,0.18665075302124023
a,1739744547.2208803,1739744547.325523,0.10464262962341309,0.11792874336242676
l,1739744547.316724,1739744547.416958,0.1002340316772461,0.09584379196166992
Key.space,1739744547.522216,1739744547.6180654,0.09584927558898926,0.2054920196533203
i,1739744548.2142386,1739744548.3051097,0.09087109565734863,0.6920225620269775
n,1739744548.414617,1739744548.5293572,0.11474013328552246,0.20037841796875
Key.space,1739744548.5886,1739744548.6876898,0.0990898609161377,0.17398285865783691
t,1739744548.7836854,1739744548.8657718,0.08208632469177246,0.1950855255126953
o,1739744548.8791955,1739744548.9836564,0.1044609546661377,0.09551000595092773
Key.space,1739744549.0570555,1739744549.1523547,0.09529924392700195,0.17786002159118652
d,1739744549.3347094,1739744549.4491692,0.11445975303649902,0.27765393257141113
a,1739744549.6035259,1739744549.7130153,0.10948944091796875,0.2688164710998535
y,1739744549.7130153,1739744549.8039982,0.09098291397094727,0.10948944091796875
s,1739744549.8542116,1739744549.9400566,0.0858449935913086,0.14119625091552734
Key.space,1739744550.8365707,1739744550.9192193,0.08264851570129395,0.9823591709136963
d,1739744551.010231,1739744551.0881605,0.07792949676513672,0.1736602783203125
i,1739744551.110935,1739744551.1972444,0.08630943298339844,0.10070395469665527
g,1739744551.3252985,1739744551.3928049,0.06750631332397461,0.21436357498168945
o,1739744551.5253978,1739744551.6164255,0.09102773666381836,0.20009922981262207
i,1739744552.399617,1739744552.4943867,0.09476971626281738,0.8742191791534424
t,1739744552.6216831,1739744552.6945224,0.07283926010131836,0.22206616401672363
a,1739744552.7722406,1739744552.8768475,0.10460686683654785,0.1505575180053711
l,1739744552.881848,1739744552.964226,0.08237791061401367,0.10960745811462402
Key.space,1739744553.5239377,1739744553.6057682,0.08183050155639648,0.6420896053314209
w,1739744553.6339843,1739744553.7521048,0.11812043190002441,0.1100466251373291
o,1739744553.724319,1739744553.8158455,0.09152650833129883,0.09033465385437012
r,1739744553.9301145,1739744554.021352,0.09123754501342773,0.2057955265045166
l,1739744554.094251,1739744554.181537,0.08728599548339844,0.16413640975952148
d,1739744554.4633937,1739744554.577179,0.1137852668762207,0.3691427707672119
.,1739744555.364487,1739744555.4608212,0.09633421897888184,0.9010932445526123
Key.space,1739744555.5648515,1739744555.6563573,0.09150576591491699,0.2003645896911621
Key.caps_lock,1739744555.7113764,1739744555.8341532,0.12277674674987793,0.14652490615844727
k,1739744555.8471575,1739744555.9383168,0.09115934371948242,0.13578104972839355
Key.caps_lock,1739744555.9159777,1739744556.006771,0.09079337120056152,0.06882023811340332
e,1739744556.1252306,1739744556.2341642,0.10893368721008301,0.20925283432006836
y,1739744556.271887,1739744556.3619523,0.09006524085998535,0.14665651321411133
s,1739744556.3942068,1739744556.489276,0.09506916999816895,0.12231969833374023
t,1739744556.5301573,1739744556.6029382,0.07278084754943848,0.13595056533813477
r,1739744556.6671617,1739744556.7631752,0.09601354598999023,0.13700437545776367
o,1739744556.7631752,1739744556.854323,0.09114766120910645,0.09601354598999023
k,1739744556.9454255,1739744557.0490334,0.1036078929901123,0.1822502613067627
e,1739744557.053881,1739744557.145441,0.09156012535095215,0.10845541954040527
Key.space,1739744557.1898386,1739744557.2775981,0.08775949478149414,0.1359577178955078
d,1739744557.8960123,1739744558.0059106,0.10989832878112793,0.7061736583709717
y,1739744558.042138,1739744558.1238139,0.08167576789855957,0.14612579345703125
n,1739744558.2421985,1739744558.3341997,0.09200119972229004,0.20006036758422852
a,1739744558.3748736,1739744558.475523,0.10064935684204102,0.1326751708984375
m,1739744558.4569461,1739744558.547862,0.09091591835021973,0.08207249641418457
i,1739744558.639106,1739744558.7446103,0.10550427436828613,0.1821599006652832
c,1739744558.711789,1739744558.8032224,0.09143352508544922,0.07268285751342773
s,1739744558.9267805,1739744559.0261648,0.09938430786132812,0.21499156951904297
Key.space,1739744559.0402508,1739744559.1314254,0.09117460250854492,0.11347031593322754
c,1739744559.4626882,1739744559.5404992,0.07781100273132324,0.4224374294281006
a,1739744559.6863966,1739744559.804117,0.11772036552429199,0.2237083911895752
n,1739744559.768101,1739744559.8733714,0.1052703857421875,0.08170437812805176
Key.space,1739744559.94125,1739744560.0326185,0.09136843681335449,0.17314910888671875
h,1739744560.1696389,1739744560.251685,0.0820460319519043,0.22838878631591797
e,1739744560.278191,1739744560.3782012,0.10001015663146973,0.10855221748352051
l,1739744560.4149225,1739744560.5102515,0.09532904624938965,0.13673138618469238
p,1739744560.606157,1739744560.705987,0.09982991218566895,0.19123458862304688
Key.space,1739744560.7795029,1739744560.8702407,0.09073781967163086,0.17334580421447754
d,1739744561.0337791,1739744561.1206846,0.08690547943115234,0.2542762756347656
i,1739744561.1342783,1739744561.2345245,0.10024619102478027,0.10049915313720703
s,1739744561.289391,1739744561.393631,0.10423994064331055,0.15511274337768555
t,1739744561.4174228,1739744561.4903226,0.07289981842041016,0.12803173065185547
y,1739744561.4204218,1739744561.4903226,0.0699007511138916,0.0029990673065185547
i,1739744561.6452901,1739744561.759036,0.11374592781066895,0.2248682975769043
n,1739744561.8370042,1739744561.9361072,0.09910297393798828,0.19171404838562012
g,1739744562.0374475,1739744562.1193006,0.08185315132141113,0.20044326782226562
u,1739744562.9393196,1739744563.034318,0.09499835968017578,0.9018721580505371
i,1739744563.1074958,1739744563.2160313,0.1085355281829834,0.16817617416381836
d,1739744563.2534304,1739744563.2859163,0.0324859619140625,0.1459345817565918
s,1739744563.2360973,1739744563.3172932,0.08119583129882812,-0.017333030700683594
h,1739744563.32968,1739744563.4265494,0.09686946868896484,0.0935826301574707
Key.space,1739744563.5268025,1739744563.6005938,0.0737912654876709,0.19712257385253906
u,1739744564.4563558,1739744564.5469928,0.0906369686126709,0.9295532703399658
s,1739744564.561345,1739744564.657291,0.09594583511352539,0.10498929023742676
e,1739744564.7618282,1739744564.8531616,0.09133338928222656,0.20048308372497559
r,1739744564.9393651,1739744565.0305173,0.09115219116210938,0.1775369644165039
s,1739744565.0396178,1739744565.1393633,0.09974551200866699,0.10025262832641602
Key.space,1739744565.1671574,1739744565.2620738,0.09491634368896484,0.12753963470458984
b,1739744565.3267267,1739744565.4308228,0.1040961742401123,0.15956926345825195
a,1739744565.417376,1739744565.5267036,0.10932755470275879,0.09064936637878418
s,1739744565.604616,1739744565.7137783,0.1091623306274414,0.1872398853302002
e,1739744565.8272974,1739744565.9003098,0.0730123519897461,0.22268152236938477
d,1739744565.9920218,1739744566.0911849,0.09916305541992188,0.16472434997558594
Key.space,1739744566.092195,1739744566.182175,0.08997988700866699,0.1001732349395752
o,1739744566.2362995,1739744566.350465,0.1141655445098877,0.1441044807434082
n,1739744566.4647958,1739744566.5737925,0.10899662971496582,0.22849631309509277
Key.space,1739744566.6277552,1739744566.7194026,0.09164738655090332,0.16295933723449707
t,1739744566.8378298,1739744566.919155,0.08132505416870117,0.21007466316223145
h,1739744567.0242012,1739744567.1337075,0.10950636863708496,0.1863713264465332
e,1739744567.1337075,1739744567.2300048,0.0962972640991211,0.10950636863708496
i,1739744567.2792275,1739744567.3835626,0.10433506965637207,0.14551997184753418
r,1739744567.3969338,1739744567.483652,0.08671832084655762,0.117706298828125
Key.space,1739744567.5250058,1739744567.6204026,0.09539675712585449,0.12807202339172363
t,1739744567.757433,1739744567.8343854,0.07695245742797852,0.23242712020874023
y,1739744567.9206607,1739744568.0212343,0.10057353973388672,0.16322779655456543
p,1739744568.1985807,1739744568.3172274,0.11864662170410156,0.2779200077056885
i,1739744568.458313,1739744568.540845,0.08253192901611328,0.2597322463989258
n,1739744568.653445,1739744568.7440627,0.09061765670776367,0.19513201713562012
g,1739744568.8349154,1739744568.9229045,0.08798909187316895,0.18147039413452148
Key.space,1739744568.9726133,1739744569.064616,0.09200263023376465,0.13769793510437012
b,1739744569.159803,1739744569.250255,0.09045219421386719,0.18718957901000977
e,1739744569.4913983,1739744569.568067,0.07666873931884766,0.33159542083740234
h,1739744569.7001975,1739744569.800557,0.10035943984985352,0.20879912376403809
a,1739744569.8833504,1739744570.0012991,0.11794877052307129,0.1831529140472412
v,1739744569.9729767,1739744570.0515804,0.07860374450683594,0.08962631225585938
u,1739744570.1966872,1739744570.2655818,0.06889462471008301,0.2237105369567871
i,1739744570.1966872,1739744570.2655818,0.06889462471008301,0.0
o,1739744570.388391,1739744570.483719,0.09532809257507324,0.19170379638671875
u,1739744570.6474917,1739744570.7386255,0.09113383293151855,0.25910067558288574
r,1739744570.7564392,1739744570.8470967,0.09065747261047363,0.1089475154876709
.,1739744571.922604,1739744572.0043774,0.08177328109741211,1.1661648750305176
Key.space,1739744572.1006408,1739744572.1778855,0.07724475860595703,0.17803668975830078
Key.caps_lock,1739744573.0151072,1739744573.1475456,0.13243842124938965,0.914466381072998
t,1739744573.179431,1739744573.2652173,0.08578634262084961,0.1643238067626953
Key.caps_lock,1739744573.2884934,1739744573.411199,0.12270569801330566,0.10906243324279785
h,1739744573.420641,1739744573.5112627,0.0906217098236084,0.13214755058288574
i,1739744573.6207805,1739744573.7162797,0.09549927711486816,0.20013952255249023
s,1739744573.7113159,1739744573.8162613,0.10494542121887207,0.09053540229797363
Key.space,1739744573.8308063,1739744573.9168186,0.08601236343383789,0.11949038505554199
Key.backspace,1739744574.9632,1739744575.0596035,0.09640336036682129,1.1323938369750977
Key.backspace,1739744575.6516154,1739744575.7233794,0.07176399230957031,0.6884152889251709
Key.backspace,1739744575.8228767,1739744575.8963213,0.07344460487365723,0.17126131057739258
Key.backspace,1739744575.9873002,1739744576.0516207,0.06432056427001953,0.16442346572875977
Key.backspace,1739744576.1423142,1739744576.2334733,0.09115910530090332,0.1550140380859375
Key.caps_lock,1739744576.64361,1739744576.7576294,0.11401939392089844,0.501295804977417
t,1739744576.743138,1739744576.830279,0.08714103698730469,0.09952807426452637
Key.caps_lock,1739744576.8612347,1739744576.975682,0.11444735527038574,0.11809659004211426
h,1739744576.975682,1739744577.066625,0.0909430980682373,0.11444735527038574
i,1739744577.157701,1739744577.25859,0.10088896751403809,0.18201899528503418
s,1739744577.262927,1739744577.3630488,0.10012173652648926,0.10522603988647461
Key.space,1739744577.3714023,1739744577.4622505,0.09084820747375488,0.1084752082824707
s,1739744578.6564584,1739744578.747017,0.09055852890014648,1.2850561141967773
e,1739744578.8504424,1739744578.9328115,0.08236908912658691,0.1939840316772461
n,1739744578.960747,1739744579.0466418,0.08589482307434082,0.11030459403991699
t,1739744579.1608963,1739744579.2393513,0.07845497131347656,0.2001492977142334
e,1739744579.2885473,1739744579.3661149,0.07756757736206055,0.12765097618103027
n,1739744579.3793118,1739744579.484125,0.1048130989074707,0.09076452255249023
c,1739744579.5064552,1739744579.5797966,0.07334136962890625,0.12714338302612305
e,1739744579.6851177,1739744579.7760892,0.09097146987915039,0.17866253852844238
Key.space,1739744579.8348403,1739744579.9307396,0.09589934349060059,0.14972257614135742
c,1739744580.176715,1739744580.2909708,0.11425590515136719,0.3418745994567871
o,1739744580.280626,1739744580.3677678,0.08714175224304199,0.10391116142272949
n,1739744580.532241,1739744580.6140437,0.0818026065826416,0.251615047454834
t,1739744580.7401052,1739744580.8048618,0.06475663185119629,0.20786404609680176
a,1739744580.9010599,1739744581.027341,0.1262810230255127,0.16095471382141113
o,1739744581.1011794,1739744581.200173,0.09899353981018066,0.2001194953918457
s,1739744581.2737467,1739744581.3696713,0.09592461585998535,0.17256736755371094
n,1739744581.3428326,1739744581.447205,0.10437250137329102,0.06908583641052246
Key.backspace,1739744581.7658908,1739744581.8299406,0.06404972076416016,0.42305827140808105
Key.backspace,1739744581.8887625,1739744581.9660258,0.07726335525512695,0.12287163734436035
n,1739744582.1530976,1739744582.2023566,0.04925894737243652,0.26433515548706055
s,1739744582.216463,1739744582.3259943,0.10953116416931152,0.06336545944213867
Key.backspace,1739744582.9907746,1739744583.072534,0.08175945281982422,0.7743115425109863
Key.backspace,1739744583.1548977,1739744583.2271826,0.07228493690490723,0.1641230583190918
n,1739744583.3831153,1739744583.4690692,0.08595395088195801,0.22821760177612305
s,1739744583.482719,1739744583.574105,0.09138607978820801,0.09960365295410156
Key.space,1739744583.778586,1739744583.87501,0.09642410278320312,0.2958669662475586
a,1739744584.1841145,1739744584.297793,0.1136784553527832,0.40552854537963867
Key.space,1739744584.306277,1739744584.398054,0.09177684783935547,0.1221625804901123
v,1739744584.5485804,1739744584.630813,0.08223247528076172,0.24230337142944336
a,1739744584.8261878,1739744584.9307399,0.10455203056335449,0.27760744094848633
r,1739744585.0855403,1739744585.1816902,0.09614992141723633,0.259352445602417
i,1739744585.2584374,1739744585.3721201,0.11368274688720703,0.1728971004486084
e,1739744585.408825,1739744585.5003874,0.09156250953674316,0.15038752555847168
t,1739744585.5592146,1739744585.6453433,0.08612871170043945,0.1503896713256836
y,1739744585.7318144,1739744585.845855,0.11404061317443848,0.17259979248046875
Key.space,1739744585.913194,1739744585.995685,0.08249115943908691,0.1813795566558838
o,1739744586.1366558,1739744586.241863,0.10520720481872559,0.22346186637878418
f,1739744586.305968,1739744586.374215,0.06824684143066406,0.1693122386932373
Key.space,1739744586.374215,1739744586.4693801,0.09516525268554688,0.06824684143066406
c,1739744586.665638,1739744586.7615573,0.09591937065124512,0.29142308235168457
h,1739744586.7842326,1739744586.8842177,0.09998512268066406,0.11859464645385742
a,1739744586.9488413,1739744587.0619738,0.11313247680664062,0.16460871696472168
r,1739744587.1027615,1739744587.1884224,0.08566093444824219,0.15392017364501953
a,1739744587.2583084,1739744587.3673162,0.1090078353881836,0.1555469036102295
c,1739744587.3703825,1739744587.4528818,0.08249926567077637,0.11207413673400879
t,1739744587.5623245,1739744587.6440668,0.0817422866821289,0.1919419765472412
e,1739744587.7945557,1739744587.8906019,0.09604620933532715,0.23223114013671875
r,1739744587.9816277,1739744588.0586765,0.07704877853393555,0.1870720386505127
s,1739744588.1733258,1739744588.2642996,0.0909738540649414,0.1916980743408203
Key.space,1739744588.3006754,1739744588.3957825,0.0951070785522461,0.1273496150970459
Key.backspace,1739744589.2161634,1739744589.3340292,0.11786580085754395,0.9154880046844482
",",1739744590.2439442,1739744590.3489125,0.10496830940246582,1.0277807712554932
Key.space,1739744590.4663603,1739744590.5579636,0.09160327911376953,0.22241616249084473
n,1739744590.6359487,1739744590.7307696,0.09482097625732422,0.16958832740783691
u,1739744590.8451507,1739744590.926976,0.08182525634765625,0.20920205116271973
m,1739744591.0175085,1739744591.1139765,0.09646797180175781,0.17235779762268066
v,1739744591.2282639,1739744591.27785,0.04958605766296387,0.2107553482055664
b,1739744591.2282639,1739744591.30954,0.08127617835998535,0.0
e,1739744591.3372316,1739744591.4512303,0.1139986515045166,0.10896778106689453
r,1739744591.5424426,1739744591.6328223,0.09037971496582031,0.20521092414855957
s,1739744591.7556593,1739744591.8467612,0.09110188484191895,0.21321678161621094
Key.space,1739744591.9022002,1739744592.0017023,0.0995020866394043,0.14654088020324707
Key.backspace,1739744592.8620982,1739744592.9900236,0.12792539596557617,0.9598979949951172
.,1739744593.3270297,1739744593.4273505,0.10032081604003906,0.4649314880371094
Key.backspace,1739744593.759307,1739744593.896026,0.1367189884185791,0.43227720260620117
",",1739744594.0782306,1739744594.1826775,0.1044468879699707,0.3189237117767334
Key.space,1739744594.418638,1739744594.5196693,0.10103130340576172,0.3404073715209961
a,1739744594.6554847,1739744594.7754114,0.11992669105529785,0.2368466854095459
n,1739744594.7965686,1739744594.9024613,0.10589265823364258,0.1410839557647705
d,1739744594.9398632,1739744595.0345156,0.09465241432189941,0.1432945728302002
Key.space,1739744595.0613244,1739744595.1336324,0.07230806350708008,0.12146115303039551
p,1739744595.6391954,1739744595.7440863,0.10489082336425781,0.5778710842132568
u,1739744595.9082003,1739744595.9940906,0.08589029312133789,0.26900482177734375
n,1739744596.1038415,1739744596.2081635,0.10432195663452148,0.19564127922058105
c,1739744596.221772,1739744596.3123229,0.09055089950561523,0.11793041229248047
t,1739744596.4682255,1739744596.5591056,0.09088015556335449,0.24645352363586426
a,1739744596.6320605,1739744596.7409027,0.10884213447570801,0.1638350486755371
i,1739744596.7501178,1739744596.8240318,0.0739140510559082,0.1180572509765625
u,1739744596.7459185,1739744596.837143,0.09122443199157715,-0.00419926643371582
Key.backspace,1739744597.0745077,1739744597.146866,0.07235836982727051,0.32858920097351074
Key.backspace,1739744597.2378454,1739744597.364942,0.12709665298461914,0.16333770751953125
u,1739744597.5751889,1739744597.6793067,0.10411787033081055,0.3373434543609619
a,1739744597.7341325,1739744597.843123,0.10899043083190918,0.15894365310668945
t,1739744597.9109356,1739744597.998017,0.0870814323425293,0.1768031120300293
i,1739744598.157231,1739744598.2479627,0.09073162078857422,0.24629545211791992
o,1739744598.3349936,1739744598.4259555,0.09096193313598633,0.17776250839233398
n,1739744598.5169995,1739744598.594552,0.07755255699157715,0.1820058822631836
s,1739744598.6393204,1739744598.7034316,0.06411123275756836,0.12232089042663574
Key.backspace,1739744599.5041604,1739744599.623353,0.11919260025024414,0.864840030670166
!,1739744600.0509856,1739744600.1925807,0.14159512519836426,0.5468251705169678
Key.shift,1739744599.7453787,1739744600.201059,0.45568037033081055,-0.3056068420410156
Key.enter,1739744601.608847,1739744601.686058,0.07721114158630371,1.8634681701660156
