key,press_time,release_time,hold_time,flight_time
t,1740034181.1904287,1740034181.369525,0.17909622192382812,0.0
o,1740034182.49777,1740034182.5936358,0.09586572647094727,1.3073413372039795
Key.space,1740034182.5961459,1740034182.7246523,0.12850642204284668,0.09837579727172852
t,1740034182.8289604,1740034183.0320818,0.20312142372131348,0.23281455039978027
e,1740034183.0334644,1740034183.138249,0.10478448867797852,0.20450401306152344
s,1740034183.5878553,1740034183.736448,0.14859271049499512,0.5543909072875977
t,1740034183.8641307,1740034184.001573,0.13744235038757324,0.2762753963470459
Key.space,1740034184.0425713,1740034184.1846342,0.14206290245056152,0.17844057083129883
a,1740034184.1868594,1740034184.391033,0.20417356491088867,0.1442880630493164
n,1740034184.45362,1740034184.541742,0.08812212944030762,0.26676058769226074
a,1740034184.844764,1740034185.0298288,0.18506479263305664,0.3911440372467041
n,1740034186.5705447,1740034186.6130123,0.042467594146728516,1.725780725479126
o,1740034187.024055,1740034187.0837789,0.059723854064941406,0.4535102844238281
m,1740034187.2103467,1740034187.3693552,0.15900850296020508,0.18629169464111328
o,1740034187.3577962,1740034187.4380562,0.08026003837585449,0.14744949340820312
l,1740034187.552448,1740034187.6580956,0.10564756393432617,0.19465184211730957
y,1740034187.9551477,1740034188.0425508,0.0874030590057373,0.40269970893859863
Key.space,1740034188.1283374,1740034188.2427144,0.11437702178955078,0.17318964004516602
d,1740034188.3262374,1740034188.4486673,0.12242984771728516,0.19790005683898926
e,1740034188.5326946,1740034188.667319,0.13462448120117188,0.20645713806152344
t,1740034188.7282724,1740034188.8296738,0.10140132904052734,0.19557785987854004
e,1740034188.8318226,1740034189.0162733,0.18445062637329102,0.10355019569396973
c,1740034189.1149325,1740034189.2405894,0.1256568431854248,0.2831099033355713
t,1740034189.4334052,1740034189.5179064,0.08450126647949219,0.31847262382507324
i,1740034189.5200667,1740034189.6879337,0.16786694526672363,0.08666157722473145
o,1740034189.6259575,1740034189.8529694,0.22701191902160645,0.10589075088500977
n,1740034189.855358,1740034190.0450351,0.18967723846435547,0.2294003963470459
Key.space,1740034191.114523,1740034191.2362626,0.12173962593078613,1.2591650485992432
p,1740034191.409497,1740034191.5247657,0.11526870727539062,0.29497408866882324
a,1740034191.613178,1740034191.74176,0.12858200073242188,0.20368099212646484
t,1740034191.8706706,1740034191.9744492,0.10377860069274902,0.2574925422668457
t,1740034192.0754554,1740034192.1840708,0.10861539840698242,0.20478487014770508
e,1740034192.2364292,1740034192.434072,0.19764280319213867,0.16097378730773926
n,1740034192.5595722,1740034192.6334963,0.07392406463623047,0.32314300537109375
/,1740034193.2475085,1740034193.3023064,0.05479788780212402,0.6879363059997559
Key.backspace,1740034194.2206416,1740034194.285279,0.06463742256164551,0.9731330871582031
Key.backspace,1740034194.3980317,1740034194.4734383,0.07540655136108398,0.17739009857177734
r,1740034195.4886951,1740034195.5789146,0.09021949768066406,1.0906634330749512
n,1740034195.602955,1740034195.6673682,0.06441307067871094,0.11425995826721191
d,1740034195.8140843,1740034195.8498693,0.03578495979309082,0.21112918853759766
s,1740034195.8003035,1740034195.9322653,0.13196182250976562,-0.013780832290649414
Key.backspace,1740034196.9425702,1740034196.9945505,0.05198025703430176,1.1422667503356934
Key.enter,1740034198.7006578,1740034198.793703,0.09304523468017578,1.7580876350402832
