key,press_time,release_time,hold_time,flight_time
Key.caps_lock,1739966494.588387,1739966494.73515,0.1467630863189697,0.0
t,1739966494.8800116,1739966494.9799595,0.0999479293823242,0.2916245460510254
Key.caps_lock,1739966495.0294018,1739966495.1527076,0.1233057975769043,0.1493902206420898
h,1739966495.316836,1739966495.416319,0.0994830131530761,0.2874341011047363
e,1739966495.4486258,1739966495.5572882,0.1086623668670654,0.1317899227142334
Key.space,1739966495.6126947,1739966495.7038696,0.091174840927124,0.1640689373016357
q,1739966495.7946775,1739966495.8948183,0.1001408100128173,0.1819827556610107
u,1739966495.931711,1739966496.014209,0.0824980735778808,0.137033462524414
i,1739966496.1001585,1739966496.1874163,0.0872578620910644,0.1684474945068359
c,1739966496.218192,1739966496.31415,0.0959577560424804,0.1180336475372314
k,1739966496.3278477,1739966496.418578,0.0907301902770996,0.1096556186676025
Key.space,1739966496.497111,1739966496.596743,0.0996320247650146,0.1692636013031005
b,1739966496.765067,1739966496.8466735,0.0816061496734619,0.267956018447876
r,1739966496.9108636,1739966497.0070584,0.0961947441101074,0.1457962989807129
o,1739966497.039193,1739966497.124222,0.085029125213623,0.1283292770385742
w,1739966497.2027564,1739966497.2942662,0.0915098190307617,0.1635634899139404
n,1739966497.3251517,1739966497.4170098,0.0918581485748291,0.1223952770233154
Key.space,1739966497.502597,1739966497.5938797,0.0912823677062988,0.1774454116821289
f,1739966497.672014,1739966497.7717848,0.0997707843780517,0.1694169044494629
o,1739966497.803466,1739966497.894818,0.0913519859313964,0.1314520835876464
x,1739966497.9581845,1739966498.0584297,0.1002449989318847,0.1547183990478515
Key.space,1739966498.1352491,1739966498.2124898,0.0772407054901123,0.1770646572113037
j,1739966499.479093,1739966499.570431,0.0913379192352294,1.343843936920166
u,1739966499.6793575,1739966499.7612476,0.0818901062011718,0.2002644538879394
m,1739966499.8663027,1739966499.9473495,0.0810468196868896,0.1869451999664306
p,1739966500.0745835,1739966500.1483788,0.0737953186035156,0.2082808017730713
s,1739966500.166649,1739966500.2707562,0.1041071414947509,0.0920655727386474
Key.space,1739966500.299193,1739966500.3757625,0.0765697956085205,0.1325435638427734
o,1739966500.4305024,1739966500.5133157,0.0828132629394531,0.1313097476959228
v,1739966500.6720357,1739966500.7535796,0.0815439224243164,0.2415332794189453
e,1739966500.7771862,1739966500.859169,0.0819828510284423,0.1051504611968994
r,1739966500.9546258,1739966501.0224695,0.0678436756134033,0.1774396896362304
Key.space,1739966501.031643,1739966501.1312485,0.0996057987213134,0.0770168304443359
t,1739966501.240084,1739966501.3318994,0.0918154716491699,0.2084412574768066
h,1739966501.432599,1739966501.528327,0.0957279205322265,0.1925151348114013
e,1739966501.5332086,1739966501.6240094,0.0908007621765136,0.100609540939331
Key.space,1739966501.6240094,1739966501.7013707,0.0773613452911377,0.0908007621765136
l,1739966501.8063424,1739966501.896641,0.0902986526489257,0.1823329925537109
a,1739966501.9113207,1739966501.9967296,0.0854089260101318,0.104978322982788
z,1739966502.1063287,1739966502.197103,0.0907742977142334,0.1950080394744873
y,1739966502.2426412,1739966502.3341632,0.0915219783782959,0.1363124847412109
Key.space,1739966502.402401,1739966502.4800756,0.0776746273040771,0.1597597599029541
d,1739966502.5564983,1739966502.6531413,0.0966429710388183,0.154097318649292
o,1739966502.7801163,1739966502.8761444,0.0960280895233154,0.2236180305480957
g,1739966503.0306814,1739966503.1132867,0.0826053619384765,0.2505650520324707
.,1739966504.1381931,1739966504.2249732,0.0867800712585449,1.1075117588043213
Key.space,1739966504.3251565,1739966504.4156098,0.0904533863067627,0.1869633197784423
Key.caps_lock,1739966504.4925525,1739966504.583742,0.0911898612976074,0.1673958301544189
k,1739966504.5930443,1739966504.6625063,0.0694620609283447,0.1004920005798339
Key.caps_lock,1739966504.6797612,1739966504.7704575,0.0906963348388671,0.086716890335083
e,1739966505.2722373,1739966505.3487608,0.0765235424041748,0.5924761295318604
y,1739966505.8638997,1739966505.949489,0.0855896472930908,0.5916621685028076
s,1739966506.063759,1739966506.1555614,0.0918023586273193,0.199859619140625
t,1739966506.2015274,1739966506.2773714,0.0758440494537353,0.137768268585205
r,1739966506.354681,1739966506.4555004,0.1008193492889404,0.153153657913208
o,1739966506.4744973,1739966506.5597205,0.0852229595184326,0.1198163032531738
k,1739966506.6599844,1739966506.7558155,0.0958311557769775,0.1854870319366455
e,1739966506.7796082,1739966506.8743556,0.0947473049163818,0.1196238994598388
Key.space,1739966506.8756852,1739966506.951687,0.0760021209716796,0.0960769653320312
d,1739966507.7439475,1739966507.835121,0.0911731719970703,0.868262529373169
y,1739966507.8799968,1739966507.96265,0.0826532840728759,0.1360490322113037
n,1739966508.0723825,1739966508.1631885,0.0908060073852539,0.1923856735229492
a,1739966508.235629,1739966508.321458,0.0858285427093505,0.1632468700408935
m,1739966508.3227153,1739966508.385781,0.063065767288208,0.0870859622955322
",",1739966508.3167846,1739966508.3904068,0.0736222267150878,-0.0059306621551513
i,1739966508.527078,1739966508.6182923,0.0912144184112548,0.2102932929992675
c,1739966508.6812804,1739966508.7864804,0.1052000522613525,0.1542024612426757
s,1739966509.0089655,1739966509.10928,0.1003146171569824,0.3276851177215576
Key.space,1739966510.4974682,1739966510.588846,0.0913777351379394,1.4885027408599854
h,1739966511.13898,1739966511.2210698,0.0820899009704589,0.6415116786956787
e,1739966511.2941706,1739966511.371163,0.0769922733306884,0.1551907062530517
l,1739966511.371163,1739966511.4578946,0.0867316722869873,0.0769922733306884
p,1739966511.5545692,1739966511.6364155,0.0818462371826171,0.1834063529968261
Key.space,1739966511.7085264,1739966511.80468,0.0961537361145019,0.1539571285247802
d,1739966511.9266472,1739966512.0180616,0.0914144515991211,0.2181208133697509
e,1739966512.117849,1739966512.200739,0.0828895568847656,0.191202163696289
t,1739966512.2457566,1739966512.3376966,0.0919399261474609,0.1279072761535644
e,1739966512.350675,1739966512.4417465,0.0910711288452148,0.1049187183380127
c,1739966512.560322,1739966512.6557777,0.0954556465148925,0.2096467018127441
t,1739966512.692338,1739966512.7745016,0.0821635723114013,0.1320159435272216
Key.space,1739966512.8737762,1739966512.9467466,0.0729703903198242,0.1814382076263427
u,1739966513.9898672,1739966514.0635817,0.0737144947052002,1.116091012954712
