x,y,timestamp
818,542,1738407792.2483382
811,587,1738407792.2702227
791,680,1738407792.2895374
783,705,1738407792.297977
776,727,1738407792.3037944
769,747,1738407792.3103774
762,769,1738407792.3151102
749,803,1738407792.3264031
741,823,1738407792.3298995
723,855,1738407792.337259
705,886,1738407792.3462455
682,917,1738407792.3535912
656,952,1738407792.3578103
638,977,1738407792.369178
624,992,1738407792.372513
615,1002,1738407792.381963
608,1008,1738407792.3857443
602,1011,1738407792.3857443
596,1012,1738407792.398885
593,1012,1738407792.4112253
590,1012,1738407792.4180002
586,1011,1738407792.425004
584,1010,1738407792.4319057
581,1009,1738407792.4388425
580,1009,1738407792.4457157
579,1008,1738407792.4481337
577,1007,1738407792.4597428
575,1007,1738407792.4676266
572,1006,1738407792.474336
569,1003,1738407792.4811795
566,1002,1738407792.487935
562,1000,1738407792.4946098
556,996,1738407792.5023267
550,992,1738407792.5089946
545,988,1738407792.516303
543,985,1738407792.5233607
538,980,1738407792.5298028
534,975,1738407792.5368245
532,973,1738407792.5439296
531,970,1738407792.55087
530,968,1738407792.557712
529,966,1738407792.564564
527,964,1738407792.5721772
526,962,1738407792.5799105
525,958,1738407792.5855396
524,957,1738407792.5924797
524,954,1738407792.5989912
524,951,1738407792.606717
525,946,1738407792.6138062
528,940,1738407792.6205018
532,933,1738407792.6273952
544,921,1738407792.6344135
571,902,1738407792.6413074
600,890,1738407792.6483145
629,884,1738407792.6554716
659,875,1738407792.6622338
685,872,1738407792.669605
716,867,1738407792.675848
748,861,1738407792.6828816
782,856,1738407792.6917484
808,853,1738407792.697759
834,850,1738407792.704073
855,850,1738407792.710779
872,850,1738407792.717564
884,850,1738407792.724427
893,851,1738407792.7315915
906,854,1738407792.738543
914,856,1738407792.7475212
916,857,1738407792.7538507
917,858,1738407792.7590857
920,858,1738407792.7677786
920,859,1738407792.7730172
920,859,1738407792.786972
920,859,1738407792.8035145
916,863,1738407792.816382
888,876,1738407792.822213
840,900,1738407792.830271
806,914,1738407792.8382416
752,930,1738407792.842511
707,939,1738407792.8493745
692,939,1738407792.8583033
674,939,1738407792.8632176
658,937,1738407792.8707528
648,932,1738407792.8786035
638,926,1738407792.8853562
632,920,1738407792.890934
628,914,1738407792.8978684
626,907,1738407792.9048412
626,898,1738407792.9123633
630,881,1738407792.9200842
638,859,1738407792.9260728
649,833,1738407792.9327238
662,807,1738407792.9402964
688,762,1738407792.9484875
716,723,1738407792.9554172
